area_m2,n_cuartos,n_banos,n_garajes,tipo_inmueble,zona,valor_venta,barrio_comun
270.0,1.0,4,0.0,Casa,OCCIDENTAL,650000000,LA CABAÃ¿A ENGATIVA
280.0,1.0,4,3.0,Apartamento,NORTE,3613875000,EL REFUGIO
100.0,3.0,3,3.0,Casa,NOROCCIDENTE,490000000,TEJARES DEL NORTE 6
74.0,3.0,2,1.0,Apartamento,CHAPINERO,340000000,SANTA TERESITA
80.0,1.0,2,2.0,Apartamento,NORTE,634000000,LA CAROLINA
56.0,1.0,2,2.0,Apartamento,NORTE,460000000,SAN PATRICIO
130.0,3.0,3,2.0,Apartamento,NORTE,600000000,EL CONTADOR
140.0,3.0,3,2.0,Apartamento,NORTE,800000000,ALTOS DE SANTA ANA
172.0,3.0,4,2.0,Apartamento,NORTE,1300000000,CERROS DE LOS ALPES
95.0,3.0,2,1.0,Apartamento,NORTE,630000000,SANTA BARBARA
77.0,2.0,2,1.0,Apartamento,CENTRO,463000000,CHAPINERO NORTE
86.0,2.0,3,2.0,Apartamento,NORTE,670000000,SANTA BARBARA CENTRAL
181.0,4.0,3,2.0,Casa,NOROCCIDENTE,850000000,SAN NICOLAS
73.0,2.0,2,1.0,Apartamento,NORTE,437904000,NUEVA AUTOPISTA-USAQUÉN
145.0,3.0,3,2.0,Apartamento,SIN DATO,770000000,COLINA CAMPESTRE
47.0,3.0,1,0.0,Apartamento,OCCIDENTAL,132000000,CALANDAIMA
220.0,3.0,4,2.0,Apartamento,NORTE,1250000000,SANTA BARBARA
41.0,1.0,1,1.0,Apartamento,SUR,169400000,TUNAL
230.0,4.0,5,2.0,Apartamento,NORTE,1300000000,ALTOS DEL COUNTRY
85.0,3.0,2,1.0,Apartamento,NOROCCIDENTE,395000000,COLINA GILMAR
41.0,1.0,2,1.0,Apartamento,CHAPINERO,320000000,CHAPINERO CENTRAL
200.0,3.0,3,2.0,Apartamento,NORTE,1350000000,ROSALES
43.32,1.0,2,1.0,Apartamento,NOROCCIDENTE,279920000,PASADENA
59.0,1.0,1,0.0,Apartamento,NORTE,763100000,
156.0,2.0,3,2.0,Apartamento,NORTE,920000000,EL NOGAL
254.0,2.0,3,2.0,Apartamento,NORTE,3147447500,BELLAVISTA
127.0,3.0,3,2.0,Apartamento,OCCIDENTAL,640000000,LA FELICIDAD
88.0,3.0,2,2.0,Apartamento,NORTE,425000000,NUEVA CASTILLA TINTAL
182.0,3.0,4,2.0,Apartamento,NORTE,1478000000,LA CAROLINA
141.0,3.0,3,2.0,Apartamento,NORTE,750000000,LA CALLEJA
169.0,3.0,4,2.0,Apartamento,NORTE,1250000000,BELLA SUIZA
108.0,2.0,3,2.0,Apartamento,NORTE,1686500000,
152.0,3.0,3,3.0,Apartamento,NORTE,1070000000,SANTA BARBARA OCCIDENTAL
295.0,3.0,4,2.0,Casa,NOROCCIDENTE,990000000,LINDARAJA
100.0,2.0,3,2.0,Apartamento,NORTE,770000000,CHICÓ NORTE III
281.0,3.0,4,3.0,Apartamento,NORTE,1950000000,ROSALES
72.0,3.0,2,0.0,Apartamento,OCCIDENTAL,305579600,NUEVA CASTILLA
204.0,4.0,5,2.0,Apartamento,NORTE,1130000000,LA CAROLINA
72.0,3.0,2,0.0,Casa,OCCIDENTAL,350000000,AYACUCHO
163.0,2.0,3,2.0,Apartamento,NORTE,810000000,BELLA SUIZA
150.0,3.0,3,2.0,Apartamento,NORTE,1500000000,EL CHICO
66.0,2.0,2,1.0,Apartamento,CENTRO,429000000,EL CENTRO
201.0,3.0,3,2.0,Apartamento,NORTE,590000000,SANTA BARBARA CENTRAL
370.0,4.0,4,4.0,Apartamento,NORTE,2400000000,LA CAROLINA
82.0,2.0,2,1.0,Apartamento,NORTE,415000000,CEDRITOS
